customer_code,customer_name,customer_type
Cus001,Surge Stores,Brick & Mortar
Cus002,Nomad Stores,Brick & Mortar
Cus003,Excel Stores,Brick & Mortar
Cus004,Surface Stores,Brick & Mortar
Cus005,Premium Stores,Brick & Mortar
Cus006,Prime Stop Superstores,Brick & Mortar
Cus007,!Sunset Plaza,Brick & Mortar
Cus008,Acclaimed Stores,Brick & M0rtar
Cus009, The Everyday Stores,Brick & Mortar
Cus010,Atlas Stores,Brick & Mortar
Cus011,The Market Hub1,Brick & Mortar
Cus012,Integration Superstores,Brick & Mortar
Cus013,Unity Stores,click-and-mortar.
Cus014,Forward Stores,click-and-m0rtar.
Cus015,Daily Treasures Superstores,click-and-mortar.
Cus016,  Logic Stores  ,click-and-mortar.
Cus017,Epic Plaza,click-and-mortar.
Cus018,Smith & Bane Plaza,click-and-mortar.
Cus019,Chance Outlet,click-and-mortar.
Cus020,Nixon Hub,click-and-mortar.
Cus02!,Urban Finds,click-and-mortar.
Cus022,Speak Out Mart,click-and-mortar.
Cus023,Danielle & Chris Enterprise,click-and-mortar.
Cus024,The Bargain Box,cl1ck-and-mortar.
Cus025,Path Enterprise,click-and-mortar.
Cus026,Delight Mart,click-and-mortar.
Cus027,Vista Goods,  E-Commerce
Cus028,Sage Market,  E-Commerce
Cus029,ShopEase,  E-Commerce
Cus030,Homely Online-store,  E-Commerce
Cus031,?  Zone Enterprise,  E-C0mmerce
Cus032,Elite Easy Shopping,  E-Commerce
Cus033,All-Out Supply,  E-Commerce
Cus034,Expression Supply, E-Commerce
Cus035,Riverside Enterprise,  E-Commerce
Cus036,The Local Vault,  E-Commerce
Cus037,Propel Supply,  E-Commerce
Cus038,Cornerstone Supplies,  E-Commerce
